"Rebecca Adlington","Europe","Great Britain","F","B","Swimming","0","0","2"
"Nathan Adrian","North America","United States of America","M","B","Swimming","2","1","0"
"Jasper Aerents","Europe","Belgium","M","A","Swimming","0","0","0"
"Sara Aerts","Europe","Belgium","F","C","Athletics","0","0","0"
"Francois Affolter","Europe","Switzerland","M","B","Football","0","0","0"
"Alvaro Affonso de Miranda Neto","South America","Brazil","M","D","Equestrian","0","0","0"
"Christos Afroudakis","Europe","Greece","M","C","Water Polo","0","0","0"
"Georgios Afroudakis","Europe","Greece","M","D","Water Polo","0","0","0"
"Dragos Agache","Asia","Romania","M","C","Swimming","0","0","0"
"Alphonsine Agahozo","Africa","Rwanda","F","A","Swimming","0","0","0"
"Luca Agamennoni","Europe","Italy","M","D","Rowing","0","0","0"
"Mawussi Agbetoglo","Africa","Togo","M","A","Table Tennis","0","0","0"
"Marilyn Agliotti","Europe","Netherlands","F","D","Hockey","1","0","0"
"Yannick Agnel","Europe","France","M","B","Swimming","2","1","0"
"Anna Agrafioti","Europe","Greece","F","B","Sailing","0","0","0"
"Ulrika Agren","Europe","Sweden","F","C","Handball","0","0","0"
"Renzo Agresta","South America","Brazil","M","C","Fencing","0","0","0"
"Mayra Aguiar","South America","Brazil","F","B","Judo","0","0","1"
"Alberto Aguilar","South America","Venezuela","M","C","Athletics","0","0","0"
"Alessandra Aguilar","Europe","Spain","F","D","Athletics","0","0","0"
"Macarena Aguilar Diaz","Europe","Spain","F","C","Handball","0","0","1"
"Inaki Aguilar Vicente","Europe","Spain","M","C","Water Polo","0","0","0"
"Julen Aguinagalde Akizu","Europe","Spain","M","C","Handball","0","0","0"
"Jeinkler Aguirre","North America","Cuba","M","B","Diving","0","0","0"
"Marcelo Aguirre","South America","Paraguay","M","A","Table Tennis","0","0","0"
"Matias Aguirregaray","South America","Uruguay","M","B","Football","0","0","0"
"Mikel Aguirrezabalaga Garcia","Europe","Spain","M","C","Handball","0","0","0"
"Feta Ahamada","Africa","Comoros","F","C","Athletics","0","0","0"
"Johanna Ahlm","Europe","Sweden","F","B","Handball","0","0","0"
"Christian Ahlmann","Europe","Germany","M","D","Equestrian","0","0","0"
"Tontowi Ahmad","Asia","Indonesia","M","C","Badminton","0","0","0"
"Waseem Ahmad","Asia","Pakistan","M","D","Hockey","0","0","0"
"Elaheh Ahmadi","Asia","Islamic Republic of Iran","F","D","Shooting","0","0","0"
"Emin Ahmadov","Europe","Azerbaijan","M","C","Wrestling","0","0","1"
"Abdou Omar Abdou Ahmed","Africa","Egypt","M","B","Wrestling","0","0","0"
"Azneem Ahmed","Asia","Maldives","M","B","Athletics","0","0","0"
"Esmat Ahmed","Africa","Egypt","F","C","Weightlifting","0","0","0"
"Fareed Ahmed","Asia","Pakistan","M","B","Hockey","0","0","0"
"Mohammed Ahmed","North America","Canada","M","B","Athletics","0","0","0"
"Shehab Ahmed","Africa","Egypt","M","B","Football","0","0","0"
"Odile Ahouanwanou","Africa","Benin","F","B","Athletics","0","0","0"
"Murielle Ahoure","Africa","Cote d'Ivoire","F","B","Athletics","0","0","0"
"Gaby Diana Ahrens","Africa","Namibia","F","D","Shooting","0","0","0"
"Mohammad Ahsan","Asia","Indonesia","M","B","Badminton","0","0","0"
"Johannes Ahun","Europe","Estonia","M","B","Sailing","0","0","0"
"Michelle-Lee Ahye","North America","Trinidad and Tobago","F","B","Athletics","0","0","0"
"Matteo Aicardi","Europe","Italy","M","C","Water Polo","0","1","0"
"Neringa Aidietyte","Europe","Lithuania","F","C","Athletics","0","0","0"
"Hannes Aigner","Europe","Germany","M","B","Canoe Slalom","0","0","1"
"Ben Ainslie","Europe","Great Britain","M","D","Sailing","1","0","0"
"Tassadit Aissou","Africa","Algeria","F","B","Volleyball","0","0","0"
"Souad Ait Salem","Africa","Algeria","F","D","Athletics","0","0","0"
"Marina Aitova","Asia","Kazakhstan","F","C","Athletics","0","0","0"
"Henriette Akaba Edoa","Africa","Cameroon","F","B","Football","0","0","0"
"Tolga Akcayli","North America","St Vincent and the Grenadines","M","A","Swimming","0","0","0"
"Tarik Langat Akdag","Asia","Turkey","M","B","Athletics","0","0","0"
"Ahmet Akdilek","Asia","Turkey","M","B","Cycling - Road","0","0","0"
"Taha Akgul","Asia","Turkey","M","B","Wrestling","0","0","0"
"Habibollah Jomeh Akhlaghi","Asia","Islamic Republic of Iran","M","C","Wrestling","0","0","0"
"Artur Akhmatkhuzin","Asia","Russian Federation","M","B","Fencing","0","0","0"
"Esther Akihary","Europe","Netherlands","F","C","Athletics","0","0","0"
"Ozge Akin-Gurler","Asia","Turkey","F","C","Athletics","0","0","0"
"Foluke Akinradewo","North America","United States of America","F","B","Volleyball","0","1","0"
"Jonathan Akinyemi","Africa","Nigeria","M","B","Canoe Slalom","0","0","0"
"Khadzhimurat Akkaev","Asia","Russian Federation","M","C","Weightlifting","0","0","0"
"Malika Akkaoui","Africa","Morocco","F","B","Athletics","0","0","0"
"Adnan Taess Akkar","Asia","Iraq","M","D","Athletics","0","0","0"
"Youssef Akrout","Africa","Tunisia","M","B","Sailing","0","0","0"
"Chie Akutsu","Asia","Japan","F","C","Hockey","0","0","0"
"Noah Akwu","Africa","Nigeria","M","B","Athletics","0","0","0"
"Ahmed Ali Al Abri","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Noor Amer Al Ameri","Asia","Iraq","F","A","Shooting","0","0","0"
"Omar Abdulrahman Al Amoudi","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Abdulaziz Hussain Al Balooshi","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Mubarak Al Besher","Asia","United Arab Emirates","M","B","Swimming","0","0","0"
"Ramzy Al Duhami","Asia","Saudi Arabia","M","D","Equestrian","0","0","1"
"Rashed Eisa Al Falasi","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Habib Fardan Al Fardan","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Bahaa Al Farra","Asia","Palestine","M","B","Athletics","0","0","0"
"Ali Mabkhout Al Hajeri","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Bahya Mansour Al Hamad","Asia","Qatar","F","B","Shooting","0","0","0"
"Amer Abdulrahman Al Hammadi","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Ismail Al Hammadi","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Ahmed Al Hatmi","Asia","Oman","M","C","Shooting","0","0","0"
